"* Required Fields","* обязательные поля"
"-- Select --","-- Выберите --"
"Add New Option","Добавить новый параметр"
"Add Selection","Добавить набор"
"As Low as","Начиная с"
"As low as","Начиная с"
"Bundle Items","Товары комплекта"
"Bundle Product","Товарный комплект"
"Buy %1$s with %2$s discount each","Купить %1$s со %2$s скидкой каждый"
"Catalog Product View (Bundle)","Карточка товарного комплекта"
"Checkbox","Галочка"
"Choose a selection...","Выбрать набор..."
"Close","Закрыть"
"Default","По умолчанию"
"Default Qty","Количество по умолчанию"
"Default Title","Заголовок по умолчанию"
"Drop-down","Выпадающий список"
"Dynamic","Динамичный"
"Excl. Tax","Без налога"
"Fixed","Фиксированный"
"From","От"
"From:","От:"
"Gift Message","Поздравительное сообщение"
"Incl. Tax","Включая налог"
"Input Type","Тип ввода"
"Is Required","Обязательный"
"Message:","Сообщение:"
"Multiple Select","Множественный выбор"
"N/A","Н/Д"
"No options of this product are available.","Для данного товара нет параметров."
"None","нет"
"Percent","Процент"
"Percent Discount","Скидка в процентах"
"Please Select Products to Add","Выберите товары для добавления"
"Please enter search conditions to view products.","Укажите критерии поиска товаров."
"Please select options for product.","Выберите параметры для товара."
"Please specify product option(s).","Укажите параметры товара."
"Position","Позиция"
"Price Range","Диапазон цен"
"Price Type","Тип цены"
"Price as configured","Назначенная цена"
"Qty:","Количество:"
"Radio Buttons","Радио-кнопки"
"Required options are not selected.","Обязательные параметры не выбраны."
"Selected required options are not available.","Выбранные обязательные параметры недоступны."
"Separately","Отдельно"
"Ship Bundle Items","Доставка товаров комплекта"
"Shipment","Доставка"
"Store View Title","Заголовок для витрины"
"There is no defined renderer for ""%s"" option type.","Для типа параметров «%s» нет отображения."
"This product is also part of bundle(s)","Этот товар также является частью товарных комплектов"
"To","Куда"
"To:","Куда:"
"Together","Вместе"
"Use Default Value","Использовать значение по умолчанию"
"User Defined Qty","Количество, определённое покупателем"
